Produkt;Verkäufe;Summe €
Red Bull Original;187.0;467,50
Gizeh Black Fine;172.0;258,00
Red Bull White;165.0;467,60
Gizeh King Size Slim;117.0;295,00
Ur-Krostizer 0,5;110.0;275,00
Monster White;99.0;267,30
Monster Loco;98.0;264,60
Pueblo Classic;97.0;654,75
Mixery Iced Blue;95.0;305,00
Gizeh Slim Filter;88.0;132,00
Monster Original;80.0;218,70
Siberia White Dry Slim;76.0;752,40
Pueblo Blau;73.0;499,50
Desparados;67.0;168,70
1g H3BTA Amnezia Haze;66.0;851,40
Onlygrams Peach Ice Vape;64.0;1.898,60
Coca Cola;58.0;127,60
Gizeh XL Slim Filter;57.0;85,50
Red Bull Ice Edition;56.0;212,80
Krombacher;54.0;156,20
Paulaner Spezi;54.0;108,00
Heineken;53.0;153,70
Capri Sonne Cherry Pomerade;52.0;104,00
1g H3BTA Lemon Haze;52.0;670,80
American Spirit Blue;51.0;321,30
Powerade Blue Original;50.0;120,00
Gönrgy Cherry Cola;47.0;126,90
Somersby Blackberry;44.0;88,00
Durstlöscher Pfirsich;43.0;86,00
Red Bull Sea Blue;43.0;120,40
Red Bull Purple;43.0;163,40
Buldak Hot Carbonara;42.0;105,00
Red Bull Yellow Edition;42.0;105,90
Vio Still;42.0;84,00
1g H3BTA Gelato Haze;41.0;528,90
Active O2 Apfel Kiwi;41.0;102,50
Marlboro Rot Drehtabak;40.0;320,00
Jack Daniels Coca Cola;38.0;148,20
Capri Sonne Mango Maracuja;37.0;74,00
Milka Cookies;36.0;101,80
Dr. Pepper;36.0;72,00
Active O2 Cherry;36.0;90,00
Active O2 Iced Berry;35.0;87,50
Red Bull Blue;35.0;98,00
Durstlöscher Maracuja Vanille;34.0;68,00
Red Bull Apricot;34.0;95,20
Gönrgy Boost Berries;34.0;91,80
Vita Cola;33.0;72,60
1g H3BA Blackberry Kush;33.0;423,30
10€ Neuware Pack;32.0;379,80
Powerade Red;31.0;74,40
Capri Sonne Mulitvitamin;31.0;62,00
Coca Cola Zero;31.0;68,20
Doritos Nacho;30.0;75,00
Active O2 Lemon;30.0;75,00
Trolli Saure Würmer;30.0;60,00
RandM Dr. Blue Liquid;29.0;346,55
Bueno White;28.0;42,00
Volvic 0,5l;27.0;66,60
Kilogrammes THX 1,5g;27.0;402,30
Active O2 Himberry Cranberry;27.0;67,50
7Days Corissant Vanille Schoko;27.0;54,00
Three Sixty Energy;27.0;101,41
Red Bull Green Import;27.0;102,60
MoguMogu Mango;26.0;70,20
Pablo Gold;25.0;247,50
Capri Sonne Orange Peach;25.0;50,00
Milka Coco Brookie;25.0;112,50
Elfbar Refillable Turbo;25.0;247,50
Durstlöscher Mango;25.0;50,00
15€ Neuware Pack;24.0;360,00
Sternburg Export;24.0;52,80
Buldak Hot Cheese;24.0;60,00
Lachgummies Cola;24.0;48,00
Fuze Tea Pfirisch;23.0;55,20
Twix 2er;23.0;34,50
Doritos SweetPepper;23.0;57,50
Elfbar Master Black Knight;23.0;342,70
Manner;23.0;32,20
Lipton Sparkling Zitrone;23.0;55,80
Vio Spritzig;22.0;44,00
American Spirit Yellow;22.0;138,60
Sprite;22.0;48,40
Red Bull Peach Import;22.0;60,10
RandM Dragonfruit Aloe Freeze Liquid;21.0;250,95
Takis Nacho;21.0;73,50
7Days Corissant;21.0;42,00
Takis Blue Heat;21.0;73,50
Manner Cookie Mix;21.0;94,50
Doritos Paprika;21.0;52,50
Bifi Carazza;21.0;56,70
