Produkt,Verkäufe/Monat,Umsatz €,Automat VK €,Online-Preis €,Collection
Red Bull Original,187,467.50,2.50,2.30,Getränke
Gizeh Black Fine,172,258.00,1.50,1.50,Tabak & Drehzubehör
Red Bull White,165,467.60,2.85,2.65,Getränke
Gizeh King Size Slim,117,295.00,2.50,2.30,Tabak & Drehzubehör
"Ur-Krostizer 0,5",110,275.00,2.50,2.30,Bier & Spirituosen
Monster White,99,267.30,2.70,2.50,Getränke
Monster Loco,98,264.60,2.70,2.50,Getränke
Pueblo Classic,97,654.75,6.75,6.30,Tabak & Drehzubehör
Mixery Iced Blue,95,305.00,3.20,3.00,Bier & Spirituosen
Gizeh Slim Filter,88,132.00,1.50,1.50,Tabak & Drehzubehör
Monster Original,80,218.70,2.75,2.55,Getränke
Siberia White Dry Slim,76,752.40,9.90,9.20,Tabak & Drehzubehör
Pueblo Blau,73,499.50,6.85,6.35,Tabak & Drehzubehör
Desparados,67,168.70,2.50,2.30,Bier & Spirituosen
1g H3BTA Amnezia Haze,66,851.40,12.90,12.00,Onlygrams & H3BTA
Onlygrams Peach Ice Vape,64,1898.60,29.65,27.55,Onlygrams & H3BTA
Coca Cola,58,127.60,2.20,2.05,Getränke
Gizeh XL Slim Filter,57,85.50,1.50,1.50,Tabak & Drehzubehör
Red Bull Ice Edition,56,212.80,3.80,3.55,Getränke
Krombacher,54,156.20,2.90,2.70,Bier & Spirituosen
Paulaner Spezi,54,108.00,2.00,1.85,Getränke
Heineken,53,153.70,2.90,2.70,Bier & Spirituosen
Capri Sonne Cherry Pomerade,52,104.00,2.00,1.85,Getränke
1g H3BTA Lemon Haze,52,670.80,12.90,12.00,Onlygrams & H3BTA
American Spirit Blue,51,321.30,6.30,5.85,Tabak & Drehzubehör
Powerade Blue Original,50,120.00,2.40,2.25,Getränke
Gönrgy Cherry Cola,47,126.90,2.70,2.50,Getränke
Somersby Blackberry,44,88.00,2.00,1.85,Bier & Spirituosen
Durstlöscher Pfirsich,43,86.00,2.00,1.85,Getränke
Red Bull Sea Blue,43,120.40,2.80,2.60,Getränke
Red Bull Purple,43,163.40,3.80,3.55,Getränke
Buldak Hot Carbonara,42,105.00,2.50,2.30,Snacks & Sweets
Red Bull Yellow Edition,42,105.90,2.50,2.30,Getränke
Vio Still,42,84.00,2.00,1.85,Getränke
1g H3BTA Gelato Haze,41,528.90,12.90,12.00,Onlygrams & H3BTA
Active O2 Apfel Kiwi,41,102.50,2.50,2.30,Getränke
Marlboro Rot Drehtabak,40,320.00,8.00,7.45,Tabak & Drehzubehör
Jack Daniels Coca Cola,38,148.20,3.90,3.65,Bier & Spirituosen
Capri Sonne Mango Maracuja,37,74.00,2.00,1.85,Getränke
Milka Cookies,36,101.80,2.85,2.65,Snacks & Sweets
Dr. Pepper,36,72.00,2.00,1.85,Getränke
Active O2 Cherry,36,90.00,2.50,2.30,Getränke
Active O2 Iced Berry,35,87.50,2.50,2.30,Getränke
Red Bull Blue,35,98.00,2.80,2.60,Getränke
Durstlöscher Maracuja Vanille,34,68.00,2.00,1.85,Getränke
Red Bull Apricot,34,95.20,2.80,2.60,Getränke
Gönrgy Boost Berries,34,91.80,2.70,2.50,Getränke
Vita Cola,33,72.60,2.20,2.05,Getränke
1g H3BA Blackberry Kush,33,423.30,12.85,11.95,Onlygrams & H3BTA
10€ Neuware Pack,32,379.80,11.85,11.00,Mystery Packs
Powerade Red,31,74.40,2.40,2.25,Getränke
Capri Sonne Mulitvitamin,31,62.00,2.00,1.85,Getränke
Coca Cola Zero,31,68.20,2.20,2.05,Getränke
Doritos Nacho,30,75.00,2.50,2.30,Snacks & Sweets
Active O2 Lemon,30,75.00,2.50,2.30,Getränke
Trolli Saure Würmer,30,60.00,2.00,1.85,Snacks & Sweets
RandM Dr. Blue Liquid,29,346.55,11.95,11.10,Vapes & Liquids
Bueno White,28,42.00,1.50,1.50,Snacks & Sweets
"Volvic 0,5l",27,66.60,2.45,2.30,Getränke
"Kilogrammes THX 1,5g",27,402.30,14.90,13.85,Onlygrams & H3BTA
Active O2 Himberry Cranberry,27,67.50,2.50,2.30,Getränke
7Days Corissant Vanille Schoko,27,54.00,2.00,1.85,Snacks & Sweets
Three Sixty Energy,27,101.41,3.75,3.50,Bier & Spirituosen
Red Bull Green Import,27,102.60,3.80,3.55,Getränke
MoguMogu Mango,26,70.20,2.70,2.50,Getränke
Pablo Gold,25,247.50,9.90,9.20,Tabak & Drehzubehör
Capri Sonne Orange Peach,25,50.00,2.00,1.85,Getränke
Milka Coco Brookie,25,112.50,4.50,4.20,Snacks & Sweets
Elfbar Refillable Turbo,25,247.50,9.90,9.20,Vapes & Liquids
Durstlöscher Mango,25,50.00,2.00,1.85,Getränke
15€ Neuware Pack,24,360.00,15.00,13.95,Mystery Packs
Sternburg Export,24,52.80,2.20,2.05,Bier & Spirituosen
Buldak Hot Cheese,24,60.00,2.50,2.30,Snacks & Sweets
Lachgummies Cola,24,48.00,2.00,1.85,Snacks & Sweets
