Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status,Collection
elf-bar-600-v2,Elf Bar 600 V2 Einweg-Vape,"<p>Elf Bar 600 V2 – Einweg-E-Zigarette mit bis zu 600 Zügen. TPD2-konform: 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",Elf Bar,Einweg-Vape,"vape, nikotin, age_restricted, bestseller",TRUE,Geschmack,Blue Razz Lemonade,EB600V2-BRL,shopify,42,deny,manual,8.49,9.90,TRUE,TRUE,active,Vapes & Liquids
elf-bar-600-v2,,,,,,,Geschmack,Watermelon,EB600V2-WM,shopify,35,deny,manual,8.49,9.90,TRUE,TRUE,active,
elf-bar-600-v2,,,,,,,Geschmack,Strawberry Ice,EB600V2-SI,shopify,28,deny,manual,8.49,9.90,TRUE,TRUE,active,
elf-bar-600-v2,,,,,,,Geschmack,Grape,EB600V2-GR,shopify,4,deny,manual,8.49,9.90,TRUE,TRUE,active,
lost-mary-bm600,Lost Mary BM600 Einweg-Vape,"<p>Lost Mary BM600 – kompakte Einweg-E-Zigarette mit bis zu 600 Zügen. TPD2-konform: 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",Lost Mary,Einweg-Vape,"vape, nikotin, age_restricted, bestseller",TRUE,Geschmack,Blueberry Sour Raspberry,LMBM600-BSR,shopify,30,deny,manual,8.49,9.90,TRUE,TRUE,active,Vapes & Liquids
lost-mary-bm600,,,,,,,Geschmack,Pineapple Ice,LMBM600-PI,shopify,22,deny,manual,8.49,9.90,TRUE,TRUE,active,
lost-mary-bm600,,,,,,,Geschmack,Kiwi Passion Fruit Guava,LMBM600-KPG,shopify,18,deny,manual,8.49,9.90,TRUE,TRUE,active,
lost-mary-bm600,,,,,,,Geschmack,Red Apple Ice,LMBM600-RAI,shopify,3,deny,manual,8.49,9.90,TRUE,TRUE,active,
elfbar-elfa-device,Elfbar Elfa Pod-Kit (Basisgerät),"<p>Elfbar Elfa – wiederaufladbares Pod-System. Einfach Pod einstecken und loslegen. 500-mAh-Akku, USB-C. Pods separat erhältlich.</p><p>Abgabe nur ab 18 Jahren. Enthält eine Batterie – Hinweise zur Entsorgung siehe Batteriegesetz-Seite.</p>",Elf Bar,Pod-System,"vape, age_restricted",TRUE,Farbe,Aurora Purple,ELFA-DEV-AP,shopify,15,deny,manual,6.99,7.90,TRUE,TRUE,active,Vapes & Liquids
elfbar-elfa-device,,,,,,,Farbe,Black,ELFA-DEV-BK,shopify,12,deny,manual,6.99,7.90,TRUE,TRUE,active,
elfbar-elfa-pods,Elfbar Elfa Pods (2er-Pack),"<p>Prefilled Pods für das Elfa Pod-Kit, Doppelpack. TPD2-konform: je 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",Elf Bar,Pods,"vape, nikotin, age_restricted",TRUE,Geschmack,Elfergy,ELFA-POD-EN,shopify,25,deny,manual,6.49,7.90,TRUE,TRUE,active,Vapes & Liquids
elfbar-elfa-pods,,,,,,,Geschmack,Blueberry,ELFA-POD-BB,shopify,20,deny,manual,6.49,7.90,TRUE,TRUE,active,
elfbar-elfa-pods,,,,,,,Geschmack,Watermelon,ELFA-POD-WM,shopify,16,deny,manual,6.49,7.90,TRUE,TRUE,active,
elfbar-elfa-pods,,,,,,,Geschmack,Strawberry Ice,ELFA-POD-SI,shopify,5,deny,manual,6.49,7.90,TRUE,TRUE,active,
vuse-go-1000,Vuse GO 1000 Einweg-Vape,"<p>Vuse GO 1000 – Einweg-E-Zigarette mit bis zu 1000 Zügen. TPD2-konform: 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",Vuse,Einweg-Vape,"vape, nikotin, age_restricted, neu",TRUE,Geschmack,Berry Blend,VGO1000-BB,shopify,20,deny,manual,9.49,10.90,TRUE,TRUE,active,Vapes & Liquids
vuse-go-1000,,,,,,,Geschmack,Mint Ice,VGO1000-MI,shopify,17,deny,manual,9.49,10.90,TRUE,TRUE,active,
vuse-go-1000,,,,,,,Geschmack,Mango,VGO1000-MG,shopify,14,deny,manual,9.49,10.90,TRUE,TRUE,active,
187-strauss-vape,187 Strassenbande Vape,"<p>187 Vape – Einweg-E-Zigarette mit bis zu 600 Zügen. TPD2-konform: 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",187 Vape,Einweg-Vape,"vape, nikotin, age_restricted, bestseller",TRUE,Geschmack,Hamburg,187V-HH,shopify,26,deny,manual,8.99,9.90,TRUE,TRUE,active,Vapes & Liquids
187-strauss-vape,,,,,,,Geschmack,Miami Vice,187V-MV,shopify,21,deny,manual,8.99,9.90,TRUE,TRUE,active,
187-strauss-vape,,,,,,,Geschmack,Blue Lemonade,187V-BL,shopify,2,deny,manual,8.99,9.90,TRUE,TRUE,active,
hqd-surv-600,HQD Surv 600 Einweg-Vape,"<p>HQD Surv – Einweg-E-Zigarette mit bis zu 600 Zügen. TPD2-konform: 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",HQD,Einweg-Vape,"vape, nikotin, age_restricted",TRUE,Geschmack,Energy,HQD600-EN,shopify,19,deny,manual,7.99,8.90,TRUE,TRUE,active,Vapes & Liquids
hqd-surv-600,,,,,,,Geschmack,Peach Ice,HQD600-PI,shopify,15,deny,manual,7.99,8.90,TRUE,TRUE,active,
flerbar-m,Flerbar M Einweg-Vape,"<p>Flerbar M – Einweg-E-Zigarette mit bis zu 600 Zügen. TPD2-konform: 2 ml Liquid, 20 mg/ml Nikotinsalz.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",Flerbar,Einweg-Vape,"vape, nikotin, age_restricted",TRUE,Geschmack,Cherry Cola,FLBM-CC,shopify,13,deny,manual,7.99,8.90,TRUE,TRUE,active,Vapes & Liquids
flerbar-m,,,,,,,Geschmack,Banana Ice,FLBM-BI,shopify,11,deny,manual,7.99,8.90,TRUE,TRUE,active,
happys-forbidden-fruit,Happy's Amsterdam – Forbidden Fruit,"<p>Happy's Amsterdam, Sorte Forbidden Fruit – bekannt von unseren Automaten in Aue und Zwickau. Am Automaten 29,90 € – online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Happy's Amsterdam,Cannabinoid-Produkt,"happys, age_restricted, bestseller",TRUE,Title,Default Title,HAPPY-FF,shopify,12,deny,manual,24.90,29.90,TRUE,TRUE,active,Happy's Amsterdam
happys-mango-safari,Happy's Amsterdam – Mango Safari,"<p>Happy's Amsterdam, Sorte Mango Safari – bekannt von unseren Automaten in Aue und Zwickau. Am Automaten 29,90 € – online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Happy's Amsterdam,Cannabinoid-Produkt,"happys, age_restricted, bestseller",TRUE,Title,Default Title,HAPPY-MS,shopify,10,deny,manual,24.90,29.90,TRUE,TRUE,active,Happy's Amsterdam
happys-golden-kush,Happy's Amsterdam – Golden Kush,"<p>Happy's Amsterdam, Sorte Golden Kush – bekannt von unseren Automaten in Aue und Zwickau. Am Automaten 29,90 € – online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Happy's Amsterdam,Cannabinoid-Produkt,"happys, age_restricted",TRUE,Title,Default Title,HAPPY-GK,shopify,8,deny,manual,24.90,29.90,TRUE,TRUE,active,Happy's Amsterdam
happys-purple-haze,Happy's Amsterdam – Purple Haze,"<p>Happy's Amsterdam, Sorte Purple Haze. Am Automaten 29,90 € – online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Happy's Amsterdam,Cannabinoid-Produkt,"happys, age_restricted, neu",TRUE,Title,Default Title,HAPPY-PH,shopify,9,deny,manual,24.90,29.90,TRUE,TRUE,active,Happy's Amsterdam
happys-strawberry-cough,Happy's Amsterdam – Strawberry Cough,"<p>Happy's Amsterdam, Sorte Strawberry Cough. Am Automaten 29,90 € – online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Happy's Amsterdam,Cannabinoid-Produkt,"happys, age_restricted",TRUE,Title,Default Title,HAPPY-SC,shopify,4,deny,manual,24.90,29.90,TRUE,TRUE,active,Happy's Amsterdam
